顧客番号,契約年月日,年齢,性別,出身地,購入年月日,購買金額
C0699,20230711,75,2,関東,20250824,28044.0
C0965,20240723,36,1,関東,20251116,22883.0
C1476,20241223,44,2,中部,20250119,9063.0
C0661,20240212,73,2,北海道,20250803,28649.0
C1128,20201110,50,2,近畿,20250424,29828.0
C1779,20240810,39,2,近畿,20250719,42445.0
C1486,20220908,56,1,中部,20250125,46234.0
C1767,20231225,38,2,近畿,20250501,34470.0
C1742,20210409,56,2,中部,20250818,4429.0
C0710,20220814,68,2,四国,20250409,43621.0
C0396,20241002,52,2,北海道,20251212,27926.0
C0912,20220320,65,1,中部,20250103,43764.0
C1361,20221114,48,2,北海道,20250918,32997.0
C1005,20230718,53,1,四国,20250911,35724.0
C1623,20210219,66,2,九州,20250120,27269.0
C1166,20230418,78,2,東北,20250723,NaN
C0317,20201003,75,1,四国,20251021,23391.0
C1735,20200112,20,1,,20251223,19187.0
C1582,20210725,34,2,近畿,20250508,40334.0
C1824,20230816,77,2,関東,20251224,-2474.0
C1551,20230502,51,1,中部,20251019,19686.0
C1580,20220102,52,1,関東,20250623,2803.0
C1425,20241024,36,2,九州,20250809,27668.0
C0681,20240320,75,2,関東,20251221,1574.0
C1334,20240907,31,2,中部,20250206,3733.0
C0495,20200518,37,1,四国,20251106,45290.0
C0556,20240214,37,2,近畿,20250529,2257.0
C0610,20210907,79,2,中部,20250402,31051.0
C1797,20220409,72,1,中国,20250311,10909.0
C0109,20200409,56,2,近畿,20250325,19146.0
C1819,20210929,38,2,関東,20250724,6802.0
C0372,20210819,49,2,関東,20250924,2896.0
C0855,20240410,60,1,近畿,20250329,23133.0
C0616,20240617,37,1,近畿,20250909,46571.0
C0768,20240815,53,2,近畿,20250730,8526.0
C1915,20231016,60,2,東北,20251209,45908.0
C0206,20201126,26,1,中部,20250131,6278.0
C0847,20200330,42,2,九州,20251223,41010.0
C0043,20210722,26,2,中部,20251112,46458.0
C0865,20241010,33,2,東北,20250302,20551.0
C1269,20200908,61,1,九州,20250308,49160.0
C1311,20230519,72,1,関東,20250814,49399.0
C1379,20240813,38,2,中国,20251201,20298.0
C0785,20240504,18,2,九州,20251123,30338.0
C0476,20230121,42,2,近畿,20250308,17191.0
C0083,20240227,46,1,北海道,20250508,28092.0
C1134,20240229,52,1,中国,20250421,18871.0
C1974,20211104,45,2,関東,20250929,4721.0
C0190,20221206,60,2,東北,20251028,33413.0
C0800,20220606,54,1,九州,20250203,46097.0
C0936,20200823,78,1,中国,20250731,25279.0
C1933,20240206,22,1,東北,20251027,9404.0
C0251,20201228,22,2,中部,20250505,-514.0
C1748,20220314,25,1,関東,20250413,30198.0
C0291,20230926,23,1,東北,20250725,23687.0
C1669,20221013,39,1,近畿,20250430,47662.0
C1225,20220401,34,1,関東,20250619,44997.0
C1821,20240827,55,1,北海道,20250204,8156.0
C0326,20231113,70,2,四国,20251127,-4433.0
C1535,20220405,58,1,中部,20250903,-2821.0
C1433,20220506,68,2,近畿,20251206,-2981.0
C1631,20220128,75,1,関東,20251105,NaN
C1814,20230804,55,1,中国,20250227,14703.0
C1986,20220427,59,2,関東,20251102,13704.0
C1965,20230925,42,1,北海道,20250521,13030.0
C0837,20200725,29,1,北海道,20250421,-1091.0
C0508,20210617,55,1,近畿,20250612,3015.0
C0731,20220807,61,1,中部,20250421,-1580.0
C1625,20240307,79,2,四国,20250601,42653.0
C0072,20240317,60,2,中国,20250306,11740.0
C1271,20241108,74,2,関東,20250416,35253.0
C0641,20211108,36,2,東北,20250804,25328.0
C1748,20220314,25,1,関東,20250401,14465.0
C0940,20200710,55,2,北海道,20250126,46432.0
C1879,20240629,66,2,四国,20250606,-869.0
C0608,20210611,79,2,北海道,20250313,5652.0
C1611,20220414,65,1,中部,20250213,16507.0
C1959,20230502,61,1,関東,20250331,42147.0
C0566,20231023,50,2,中国,20250513,42671.0
C1368,20220524,78,2,中部,20250610,43681.0
C1995,20201020,60,1,中部,20250820,18806.0
C1949,20201116,52,2,近畿,20250918,14171.0
C0054,20231206,69,2,四国,20250421,15593.0
C1754,20220714,61,1,近畿,20250613,4470.0
C0528,20241104,63,2,北海道,20250318,44617.0
C0611,20221218,64,1,関東,20250728,39308.0
C1556,20220302,66,1,東北,20250113,45639.0
